lyric
駄目駄目駄目
脳みその中から
「やめる馬鹿」と喚く
モラリティ
ダーリンベイビーダーリン
半端なくラブ！
ときらめき浮き足立つ
フィロソフィ

死ぬほど可愛い
上目遣い
なにがし法に
触れるくらい
ばら撒く乱心
気づけば蕩尽
この世に生まれた
君が悪い
やたらとしんどい
恋煩い
バラバラんなる
頭とこの身体
頸動脈から
アイラブユーが噴き出て
iris out
一体どうしようこの想いを
どうしようあばらの奥を
ザラメが溶けてゲロになりそう
瞳孔バチ開いて溺れ死にそう
今この世で君だけ大正解
Darlin’

ひっくり返っても勝ちようない
君だけルールは適用外
四つともオセロは黒しかない
カツアゲ放題

君が笑顔で放ったアバダケダブラ
デコにスティグマ申し訳ねえな
矢を刺して 貫いて
ここ弱点

死ぬほど可愛い
上目遣い
なにがし法に
触れるくらい
ばら撒く乱心
気づけば蕩尽
この世に生まれた君が悪い

パチモンでもいい何でもいい
今君と名付いてる全て欲しい
頸動脈からアイラブユーが噴き出て
iris out

一体どうしよう
この想いを
どうしよう
あばらの奥を
ザラメが溶けて
ゲロになりそう
瞳孔バチ開いて
溺れ死にそう
今この世で君だけ大正解

Darlin’
