lyric
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ! shirts!
ええっぷばーでーいっ!
あつまれ PARTY PEOPLE
朝まで DANCE DANCE
喰らつた風俗法
改正して風営法
暗闇で光るサングラス
車高の低さは
ステータス
流しでEDM
Dancing to the EDM
あつまれ PARTY PEOPLE
朝まで DANCE DANCE
喰らつた風営法
改正して風営法
ショートカットで
ツーブロックの女は
だいたいダンスうまい
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ! shirts!
ええっぷばーでーいっ!
PARTY PEOPLE PARTY PEOPLE
俺も混ぜてくれ
酒飲めへんし
踊れへんけど
PARTY PEOPLE PARTY PEOPLE
平日はちゃんと働いてる
PARTY PEOPLE 偉い
PARTY PEOPLE PARTY PEOPLE
混ぜてくれ
酒飲めへんし
踊れへんけど
PARTY PEOPLE PARTY PEOPLE
休日は日サロで焼いてる
PARTY PEOPLE
YEAH!
YEAH!
YEAH!
PARTY PEOPLE
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
shirts!
ええっぷばーでーいっ!
YEAH!
YEAH!
YEAH!
俺も楽しみたい
PARTY PEOPLE PARTY PEOPLE
混ぜてくれ
酒飲めへんし
踊れへんけど
PARTY PEOPLE PARTY PEOPLE
平日はちゃんと働いてる
PARTY PEOPLE 偉い
PARTY PEOPLE PARTY PEOPLE
混ぜてくれ
酒飲めへんし
踊れへんけど
PARTY PEOPLE PARTY PEOPLE
休日は日サロで焼いてる
PARTY PEOPLE
YEAH!
YEAH!
YEAH!
PARTY PEOPLE
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
シャッ!シャッ!シャッ!
shirts!
ええっぷばーでーいっ!
